City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Saint-Philippe,-21.3585,55.7679,71.19,74,65,13.98,RE,light rain
1,Aswan,24.0934,32.907,85.39,13,0,10.25,EG,clear sky
2,Durres,41.3231,19.4414,62.78,78,1,5.37,AL,clear sky
3,Busselton,-33.65,115.3333,56.17,82,57,5.26,AU,broken clouds
4,Kodiak,57.79,-152.4072,54.91,71,0,6.91,US,clear sky
5,Burnie,-41.0667,145.9167,50.92,78,96,3.06,AU,overcast clouds
6,Beterou,9.1992,2.2586,74.53,88,98,1.81,BJ,light rain
7,San Patricio,28.017,-97.5169,86.54,61,1,22.3,US,clear sky
8,Mataura,-46.1927,168.8643,51.48,62,100,4.79,NZ,light rain
9,Cabra,37.4725,-4.4421,57.29,85,76,5.59,ES,broken clouds
10,Vallenar,-28.5708,-70.7581,55.69,59,18,0.31,CL,few clouds
11,Brae,60.3964,-1.353,46.72,86,100,13.47,GB,overcast clouds
12,Saraland,30.8207,-88.0706,82.42,77,71,8.21,US,broken clouds
13,Cape Town,-33.9258,18.4232,56.37,77,0,6.91,ZA,clear sky
14,Mayo,38.8876,-76.5119,78.96,71,0,5.75,US,clear sky
15,Hithadhoo,-0.6,73.0833,83.3,69,99,10.11,MV,overcast clouds
16,Albany,42.6001,-73.9662,70.43,60,22,2.62,US,few clouds
17,Fairbanks,64.8378,-147.7164,73.6,30,0,13.8,US,clear sky
18,Thompson,55.7435,-97.8558,51.96,100,100,8.05,CA,overcast clouds
19,Souillac,-20.5167,57.5167,73.78,56,75,17.27,MU,light rain
20,Bredasdorp,-34.5322,20.0403,50.43,67,4,6.55,ZA,clear sky
21,Chifeng,42.2683,118.9636,58.39,24,8,10.51,CN,clear sky
22,Ntungamo,-0.8833,29.65,62.49,97,100,2.98,UG,light rain
23,Hamilton,39.1834,-84.5333,78.89,63,0,6.91,US,clear sky
24,Castro,-24.7911,-50.0119,64.17,74,76,7.38,BR,moderate rain
25,Hermanus,-34.4187,19.2345,55.62,63,12,5.23,ZA,few clouds
26,Cabo San Lucas,22.8909,-109.9124,93.51,21,0,14.97,MX,clear sky
27,Geraldton,-28.7667,114.6,46.81,87,0,12.66,AU,clear sky
28,Mar Del Plata,-38.0023,-57.5575,43.09,65,0,11.5,AR,clear sky
29,Ostrovnoy,68.0531,39.5131,36.77,92,1,13.13,RU,clear sky
30,Ponta Do Sol,32.6667,-17.1,67.01,79,99,8.88,PT,overcast clouds
31,Rikitea,-23.1203,-134.9692,76.59,70,2,10.76,PF,clear sky
32,Butaritari,3.0707,172.7902,81.97,73,99,15.57,KI,overcast clouds
33,Qaanaaq,77.484,-69.3632,27.32,73,99,13.6,GL,light snow
34,Aklavik,68.2191,-135.0107,41.34,79,100,7.9,CA,overcast clouds
35,Saint George,37.1041,-113.5841,82.63,6,0,19.57,US,clear sky
36,Puerto Ayora,-0.7393,-90.3518,75.16,83,91,6.46,EC,overcast clouds
37,Ushuaia,-54.8,-68.3,38.86,93,100,26.46,AR,light intensity drizzle
38,Hobart,-42.8794,147.3294,50.05,85,20,11.5,AU,few clouds
39,Tuktoyaktuk,69.4541,-133.0374,33.8,86,100,10.36,CA,overcast clouds
40,Manavalakurichi,8.1333,77.3,79.32,85,91,11.12,IN,overcast clouds
41,Ovalle,-30.5983,-71.2003,57.63,55,100,3.06,CL,overcast clouds
42,Soller,39.7662,2.7152,67.86,82,54,1.99,ES,broken clouds
43,Cherskiy,68.75,161.3,45.61,47,68,6.73,RU,broken clouds
44,Punta Arenas,-53.15,-70.9167,41.11,70,75,6.91,CL,broken clouds
45,Nikolskoye,59.7035,30.7861,48.79,95,96,4.9,RU,overcast clouds
46,Mahajanga,-15.7167,46.3167,69.82,78,20,6.91,MG,few clouds
47,Touros,-5.1989,-35.4608,76.08,86,8,9.13,BR,clear sky
48,Karoi,-16.8099,29.6925,53.8,69,0,0.89,ZW,clear sky
49,Welahan,-6.8,110.7167,78.84,82,54,1.01,ID,broken clouds
50,Bridlington,54.0831,-0.1919,48.15,75,61,8.57,GB,broken clouds
51,Mandan,46.8267,-100.8896,71.58,56,75,16.11,US,broken clouds
52,Dikson,73.5069,80.5464,28.35,90,100,3.31,RU,overcast clouds
53,Kaeo,-35.1,173.7833,69.33,94,88,6.87,NZ,overcast clouds
54,Coos Bay,43.3665,-124.2179,56.32,88,100,13.8,US,overcast clouds
