City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1,Aswan,EG,85.39,clear sky,24.0934,32.907,Nuba Nile
6,Beterou,BJ,74.53,light rain,9.1992,2.2586,Monastère de Kokoubou
7,San Patricio,US,86.54,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
12,Saraland,US,82.42,broken clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
14,Mayo,US,78.96,clear sky,38.8876,-76.5119,Resorts Resource Group International
15,Hithadhoo,MV,83.3,overcast clouds,-0.6,73.0833,Scoop Guest House
17,Fairbanks,US,73.6,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
19,Souillac,MU,73.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
23,Hamilton,US,78.89,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
30,Ponta Do Sol,PT,67.01,overcast clouds,32.6667,-17.1,Hotel do Campo
31,Rikitea,PF,76.59,clear sky,-23.1203,-134.9692,People ThankYou
32,Butaritari,KI,81.97,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
35,Saint George,US,82.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
36,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
40,Manavalakurichi,IN,79.32,overcast clouds,8.1333,77.3,Jebinrio home
42,Soller,ES,67.86,broken clouds,39.7662,2.7152,Hotel Marina & Wellness Spa
46,Mahajanga,MG,69.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
47,Touros,BR,76.08,clear sky,-5.1989,-35.4608,INN NEW HORIZON
49,Welahan,ID,78.84,broken clouds,-6.8,110.7167,Pp. Tahfidz Manzilul Qur'an
51,Mandan,US,71.58,broken clouds,46.8267,-100.8896,Twin City Estates
53,Kaeo,NZ,69.33,overcast clouds,-35.1,173.7833,Bushido Lodge
55,Upata,VE,78.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
56,Sur,OM,85.53,clear sky,22.5667,59.5289,Sur Plaza Hotel
57,Jamestown,US,73.04,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
63,Luwuk,ID,81.99,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
66,Wilmington,US,78.71,scattered clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
69,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
70,Kapaa,US,80.58,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
72,Koumac,NC,78.35,broken clouds,-20.5667,164.2833,Le Monitel
73,Vao,NC,73.54,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
74,Arraial Do Cabo,BR,73.15,clear sky,-22.9661,-42.0278,Pousada Porto Praia
75,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
76,Broome,US,71.98,clear sky,42.2506,-75.833,Chenango Valley State Park
80,Belle Fourche,US,65.08,broken clouds,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
82,Kushima,JP,66.83,overcast clouds,31.4583,131.2333,Hanaoka
85,Guerrero Negro,MX,65.59,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
88,Marawi,PH,71.8,overcast clouds,7.9986,124.2928,Derogongan Residence
89,Hilo,US,86.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
91,Garissa,KE,73.56,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
95,Correntina,BR,67.6,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
97,Karratha,AU,66.18,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
100,Bambous Virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
103,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
104,San Cristobal,VE,75.38,few clouds,7.7669,-72.225,Pirineos
105,Hasaki,JP,72.0,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
106,Bengkulu,ID,75.43,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
108,Mayumba,GA,72.19,few clouds,-3.432,10.6554,LIKWALE LODGE
110,Kembolcha,ET,67.66,overcast clouds,11.0816,39.7434,Tekle Hotel Kombolcha
111,Victoria,HK,85.32,scattered clouds,22.2855,114.1577,Mini Central
124,Faanui,PF,80.26,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
125,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
126,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
